言いたいこと,意味グループ,サブグループ,見出し語,コア語義,活用・派生,コロケーション・句動詞,例文(EN),例文(JP),頻度ランク,レジスター,メモ
〜だと思う,思考・意見,意見・見解,think,思う、考える,thought/thought/thinking,"think about, think of, I think (that)…",I think it's a good idea.,いい考えだと思う。,12,日常,最も一般的。that節を続けられる
〜だと信じる/たぶん〜だ,思考・意見,確信度：高,believe,信じる、〜だと思う,believed/believed/believing,"believe in, hard to believe, I believe (that)…",I believe he's honest.,彼は正直だと思う。,44,日常,thinkより確信が強い
たぶん〜だと思う（推測）,思考・意見,推測する,guess,推測する、〜だろう,guessed/guessed/guessing,"I guess, guess what",I guess she's about 30.,彼女は30歳くらいかな。,100+,口語,口語で「たぶん」。米口語で頻出
仮に〜だとする/たぶん,思考・意見,推測する,suppose,仮定する、〜だと思う,supposed/supposed/supposing,"be supposed to, I suppose",I suppose you're right.,たぶん君が正しいね。,78,日常,be supposed to=〜することになっている
よく考える/〜とみなす,思考・意見,熟考・判断,consider,熟考する、みなす,considered/considered/considering,"consider doing, consider A as B",We're considering moving.,引っ越しを検討中だ。,78,ビジネス,consider + -ing
〜かなと思う,思考・意見,疑問を抱く,wonder,〜かなと思う、不思議に思う,wondered/wondered/wondering,I wonder if/what/why…,I wonder if it'll rain.,雨が降るかなあ。,100+,日常,遠回しな質問・依頼にも
〜を想像する,思考・意見,想像する,imagine,想像する,imagined/imagined/imagining,"imagine doing, can't imagine",I can't imagine living there.,そこに住むなんて想像できない。,100+,日常,imagine + -ing
〜を疑う/〜ではないと思う,思考・意見,確信度：低,doubt,疑う、〜でないと思う,doubted/doubted/doubting,"I doubt (that)…, no doubt",I doubt he'll come.,彼は来ないと思う。,100+,日常,否定的な見込みを表す
〜という意味だ/〜のつもり,思考・意見,意図・意味,mean,意味する、〜のつもり,meant/meant/meaning,"I mean, mean to do, what do you mean",I didn't mean to hurt you.,傷つけるつもりはなかった。,28,日常,I mean=つまり（言い直し）
〜だろうと予想する,思考・意見,予期する,expect,予期する、期待する,expected/expected/expecting,"expect to do, as expected",I expect he'll be late.,彼は遅れると思う。,85,ビジネス,予定・見込みの表現
〜と言う,伝達・発話,述べる,say,言う、述べる,said/said/saying,"say that…, say to, so to speak",She said she was tired.,彼女は疲れたと言った。,4,日常,内容を言う。相手はto+人
（人に）〜を伝える/教える,伝達・発話,伝える,tell,伝える、教える,told/told/telling,"tell A B, tell A to do",Tell me the truth.,本当のことを教えて。,18,日常,tell+人+内容。命令にも
〜を尋ねる,伝達・発話,質問する,ask,尋ねる、頼む,asked/asked/asking,"ask for, ask about, ask A to do",Can I ask you something?,ちょっと聞いてもいい？,19,日常,依頼(ask A to do)にも
（言語を）話す,伝達・発話,話す,speak,話す（言語・演説）,spoke/spoken/speaking,"speak English, speak to, speak up",Do you speak English?,英語を話せますか？,66,日常,言語・フォーマルな発話
おしゃべりする,伝達・発話,会話する,talk,話す、しゃべる,talked/talked/talking,"talk about, talk to, talk over",Let's talk about it later.,あとで話そう。,33,日常,双方向の会話
〜を説明する,伝達・発話,説明する,explain,説明する,explained/explained/explaining,"explain to, explain how/why",Let me explain the plan.,計画を説明させて。,100+,ビジネス,explain 人 は不可→explain to 人
ちょっと〜に触れる,伝達・発話,言及する,mention,言及する、口に出す,mentioned/mentioned/mentioning,"mention that…, not to mention",He mentioned your name.,彼が君の名前を出したよ。,100+,ビジネス,軽く触れる
〜がどんなものか説明する,伝達・発話,描写する,describe,描写する、説明する,described/described/describing,"describe as, describe how",Can you describe him?,彼の特徴を言える？,100+,日常,特徴・様子を述べる
〜に答える,伝達・発話,応答する,answer,答える,answered/answered/answering,"answer the phone, answer to",She didn't answer my email.,彼女はメールに返信しなかった。,100+,日常,電話・質問に答える
（人を）呼ぶ/電話する,伝達・発話,呼ぶ・電話,call,呼ぶ、電話する,called/called/calling,"call back, call off, be called",Call me tonight.,今夜電話して。,25,日常,call off=中止する
〜について話し合う,伝達・発話,議論する,discuss,話し合う、議論する,discussed/discussed/discussing,"discuss with, discuss about(×)",We discussed the budget.,予算について話し合った。,100+,ビジネス,discuss about は誤り
〜してはどうかと提案する,依頼・提案・許可,提案する,suggest,提案する,suggested/suggested/suggesting,"suggest doing, suggest that…",I suggest taking a break.,休憩を取ることを提案します。,93,ビジネス,suggest to do は不可→suggest doing
〜を勧める,依頼・提案・許可,推奨する,recommend,推薦する、勧める,recommended/…/recommending,"recommend doing, highly recommend",I recommend this book.,この本を勧めるよ。,100+,ビジネス,強い推奨
〜しましょうかと申し出る,依頼・提案・許可,申し出る,offer,申し出る、提供する,offered/offered/offering,"offer to do, offer help",He offered to help me.,彼は手伝うと言ってくれた。,75,日常,offer to do=自発的に申し出る
〜を招く,依頼・提案・許可,招待する,invite,招待する,invited/invited/inviting,"invite A to B, invite over",They invited us to dinner.,夕食に招いてくれた。,100+,日常,invite over=家に招く
〜を許可する,依頼・提案・許可,許可する,allow,許す、可能にする,allowed/allowed/allowing,"allow A to do, be allowed to",They don't allow pets.,ペットは禁止だ。,68,ビジネス,allow A to do
（人に）〜させる,依頼・提案・許可,許可する,let,〜させる（許可）,let/let/letting,"let me, let's, let go",Let me check my calendar.,予定を確認させて。,30,日常,let+人+動詞原形。Let's提案
〜を手伝う,依頼・提案・許可,援助する,help,助ける、役立つ,helped/helped/helping,"help A (to) do, help out",Can you help me move?,引っ越しを手伝ってくれる？,32,日常,help+人+(to)do
どこかへ行く,移動・動作,移動する,go,行く,went/gone/going,"go to, go on, go out, be going to",I go to work by train.,電車で通勤している。,7,日常,be going to=〜する予定
こちらへ来る,移動・動作,移動する,come,来る,came/come/coming,"come from, come back, come up",Come here for a second.,ちょっとこっち来て。,11,日常,話し手の方へ
動く/引っ越す,移動・動作,移動させる,move,動く、引っ越す,moved/moved/moving,"move on, move in/out, move forward",We moved to Osaka.,大阪に引っ越した。,41,日常,move on=先へ進む
走る/経営する,移動・動作,走る・運営,run,走る、経営する,ran/run/running,"run out (of), run into, run a shop",We're running out of time.,時間がなくなってきた。,40,日常,run a business=経営する
